head	relation	tail
/m/0gsg7	/tv/tv_network/programs./tv/tv_network_duration/program	/m/01rf57
/m/018vs	/music/instrument/instrumentalists	/m/01fh0q
/m/0pd64	/award/award_winning_work/awards_won./award/award_honor/honored_for	/m/02k1pr
/m/0f1pyf	/people/person/places_lived./people/place_lived/location	/m/02cft
/m/03fgm	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/01mkq
/m/087c7	/organization/organization/headquarters./location/mailing_address/citytown	/m/0y1rf
/m/014mlp	/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	/m/0mg1w
/m/02qt02v	/award/award_category/nominees./award/award_nomination/nominated_for	/m/0btyf5z
/m/0hskw	/people/person/spouse_s./people/marriage/spouse	/m/02dh86
/m/033tf_	/people/ethnicity/people	/m/0jfx1
/m/02txdf	/education/university/fraternities_and_sororities	/m/035tlh
/m/018wng	/award/award_category/winners./award/award_honor/ceremony	/m/0n8_m93
/m/02vx4	/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	/m/0163v
/m/05925	/business/business_operation/industry	/m/01mw1
/m/045j3w	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/06mkj
/m/0fhxv	/base/popstra/celebrity/dated./base/popstra/dated/participant	/m/0m2wm
/m/018vs	/music/instrument/instrumentalists	/m/01nhkxp
/m/03d_w3h	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0bdw1g
/m/0b7gxq	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/01bv8b
/m/09fp45	/people/person/gender	/m/02zsn
/m/02sgy	/music/performance_role/track_performances./music/track_contribution/role	/m/02k856
/m/0dc_ms	/film/film/other_crew./film/film_crew_gig/film_crew_role	/m/01vx2h
/m/083chw	/award/award_winner/awards_won./award/award_honor/award_winner	/m/0bt7ws
/m/0j3v	/people/person/nationality	/m/0345h
/m/03bwzr4	/education/educational_degree/people_with_this_degree./education/education/institution	/m/027ybp
/m/099p5	/people/person/profession	/m/06q2q
/m/024qqx	/media_common/netflix_genre/titles	/m/0cf8qb
/m/0603qp	/people/person/places_lived./people/place_lived/location	/m/0cr3d
/m/0l14md	/music/performance_role/regular_performances./music/group_membership/role	/m/01dnws
/m/02qkk9_	/award/award_category/winners./award/award_honor/award_winner	/m/0l6qt
/m/011ydl	/film/film/production_companies	/m/016tw3
/m/03vv61	/music/record_label/artist	/m/02qsjt
/m/02sdk9v	/sports/sports_position/players./sports/sports_team_roster/team	/m/03zrc_
/m/02w3w	/music/performance_role/track_performances./music/track_contribution/role	/m/018vs
/m/01dbhb	/award/award_nominee/award_nominations./award/award_nomination/award	/m/02ppm4q
/m/021y7yw	/film/film/cinematography	/m/07mb57
/m/01lfy	/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation	/m/025t3bg
/m/06c0ns	/film/film/genre	/m/0556j8
/m/041c4	/people/person/profession	/m/018gz8
/m/019vhk	/film/film/genre	/m/06l3bl
/m/01hjy5	/education/educational_institution_campus/educational_institution	/m/01hjy5
/m/02vjzr	/music/genre/artists	/m/01wf86y
/m/02sdk9v	/sports/sports_position/players./sports/sports_team_roster/team	/m/03fd8x
/m/025jfl	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	/m/03hmt9b
/m/087vz	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants	/m/0d060g
/m/0bz5v2	/people/person/profession	/m/018gz8
/m/018ygt	/people/person/places_lived./people/place_lived/location	/m/030qb3t
/m/03bwzr4	/education/educational_degree/people_with_this_degree./education/education/institution	/m/02mzg9
/m/016t_3	/education/educational_degree/people_with_this_degree./education/education/institution	/m/01r47h
/m/03f1zdw	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/016xk5
/m/0r2kh	/location/hud_county_place/place	/m/0r2kh
/m/0j6b5	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/06mkj
/m/07ccs	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/04x_3
/m/02qvhbb	/people/person/profession	/m/0cbd2
/m/01r0t_j	/people/person/profession	/m/0nbcg
/m/051m56	/people/person/places_lived./people/place_lived/location	/m/013kcv
/m/0m27n	/location/location/contains	/m/0qpsn
/m/0fbtbt	/award/award_category/winners./award/award_honor/award_winner	/m/0h53p1
/m/01309x	/people/person/profession	/m/039v1
/m/01r0t_j	/music/group_member/membership./music/group_membership/role	/m/018vs
/m/0gcrg	/film/film/costume_design_by	/m/04vzv4
/m/01h7xx	/government/legislative_session/members./government/government_position_held/district_represented	/m/0d0x8
/m/03tcnt	/award/award_category/winners./award/award_honor/award_winner	/m/03vhvp
/m/05kwx2	/film/actor/film./film/performance/film	/m/041td_
/m/0nt6b	/location/location/contains	/m/03b12
/m/0cm2xh	/film/film_subject/films	/m/0fs9vc
/m/0dc_ms	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0h7x
/m/06npd	/location/location/contains	/m/015g7
/m/0fb1q	/people/person/profession	/m/03gjzk
/m/0gq9h	/award/award_category/nominees./award/award_nomination/nominated_for	/m/04vr_f
/m/01hvv0	/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	/m/0582cf
/m/015fr	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/m/034m8
/m/047t_	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	/m/09pmkv
/m/02b1jf	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02sdk9v
/m/0169dl	/award/award_nominee/award_nominations./award/award_nomination/award	/m/09qv_s
/m/05zksls	/award/award_ceremony/awards_presented./award/award_honor/honored_for	/m/02rzdcp
/m/034bs	/influence/influence_node/influenced_by	/m/01tz6vs
/m/02w_6xj	/award/award_category/winners./award/award_honor/award_winner	/m/01j2xj
/m/04ych	/location/location/partially_contains	/m/04yf_
/m/042v_gx	/music/performance_role/regular_performances./music/group_membership/role	/m/02k84w
/m/03ww_x	/government/legislative_session/members./government/government_position_held/legislative_sessions	/m/06r713
/m/0l14qv	/music/instrument/instrumentalists	/m/0g824
/m/02lyx4	/people/person/gender	/m/02zsn
/m/057pq5	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02_j1w
/m/014g_s	/film/actor/film./film/performance/film	/m/056xkh
/m/04q24zv	/film/film/genre	/m/07s9rl0
/m/0bt7ws	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0cqhk0
/m/01wf86y	/people/person/profession	/m/0nbcg
/m/099t8j	/award/award_category/winners./award/award_honor/award_winner	/m/02vntj
/m/011ysn	/film/film/genre	/m/07s9rl0
/m/03f3yfj	/people/person/profession	/m/03gjzk
/m/0cqhk0	/award/award_category/nominees./award/award_nomination/nominated_for	/m/0vjr
/m/0gkz15s	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0d0vqn
/m/03l26m	/sports/pro_athlete/teams./sports/sports_team_roster/team	/m/0jmdb
/m/0269kx	/organization/organization/headquarters./location/mailing_address/citytown	/m/013hxv
/m/03xq0f	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	/m/08zrbl
/m/01wgfp6	/people/person/place_of_birth	/m/0dc95
/m/0jtg0	/music/performance_role/regular_performances./music/group_membership/role	/m/0l14j_
/m/0dvmd	/award/award_nominee/award_nominations./award/award_nomination/award	/m/09qv_s
/m/0bjrnt	/education/educational_degree/people_with_this_degree./education/education/institution	/m/0pspl
/m/03l26m	/people/person/profession	/m/01445t
/m/02pk6x	/people/person/languages	/m/064_8sq
/m/02w7gg	/people/ethnicity/people	/m/082_p
/m/03m6_z	/people/person/places_lived./people/place_lived/location	/m/0b1t1
/m/024_ql	/sports/sports_team/colors	/m/083jv
/m/0n5hw	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/m/0n5hh
/m/0140t7	/music/group_member/membership./music/group_membership/role	/m/0l14md
/m/061fhg	/music/genre/artists	/m/095x_
/m/0109vk	/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	/m/0jbk9
/m/02jp5r	/award/award_ceremony/awards_presented./award/award_honor/award_winner	/m/0b6mgp_
/m/01ky7c	/education/educational_institution/school_type	/m/01_9fk
/m/0bwfn	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/03r8gp
/m/01fh0q	/award/award_nominee/award_nominations./award/award_nomination/award	/m/02tj96
/m/064t9	/music/genre/artists	/m/01vs8ng
/m/017r13	/film/actor/film./film/performance/film	/m/0d61px
/m/01wzlxj	/award/award_nominee/award_nominations./award/award_nomination/award	/m/02f716
/m/04kr63w	/award/award_winner/awards_won./award/award_honor/award_winner	/m/09btt1
/m/0bynt	/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	/m/01c4pv
/m/07d3z7	/film/actor/film./film/performance/film	/m/0284b56
/m/05p92jn	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/08hsww
/m/02dwj	/film/film/written_by	/m/06mn7
/m/054krc	/award/award_category/nominees./award/award_nomination/nominated_for	/m/02__34
/m/0pd57	/film/film/written_by	/m/0171lb
/m/050023	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/026dg51
/m/03fgm	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/03g3w
/m/0ds35l9	/film/film/production_companies	/m/054lpb6
/m/0161sp	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0gkz15s
/m/01x209s	/film/actor/film./film/performance/film	/m/063hp4
/m/07wf9	/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	/m/07cbs
/m/01h7xx	/government/legislative_session/members./government/government_position_held/district_represented	/m/04ych
/m/03f2_rc	/people/person/gender	/m/02zsn
/m/078mgh	/people/person/places_lived./people/place_lived/location	/m/0r62v
/m/04xn_	/organization/organization_member/member_of./organization/organization_membership/organization	/m/07t65
/m/07dzf	/organization/organization_member/member_of./organization/organization_membership/organization	/m/07t65
/m/05sb1	/sports/sports_team_location/teams	/m/038_0z
/m/06j8q_	/people/person/profession	/m/02krf9
/m/01n8gr	/award/award_nominee/award_nominations./award/award_nomination/award	/m/026mfs
/m/01chc7	/award/award_winner/awards_won./award/award_honor/award_winner	/m/019pm_
/m/06pwq	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/09s1f
/m/0lx2l	/people/person/spouse_s./people/marriage/spouse	/m/02t_99
/m/026mfs	/award/award_category/winners./award/award_honor/ceremony	/m/0jzphpx
/m/087vz	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics	/m/09x3r
/m/02w7gg	/people/ethnicity/people	/m/015wnl
/m/040db	/people/person/profession	/m/0cbd2
/m/049n7	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	/m/02pq_rp
/m/0gq_d	/award/award_category/winners./award/award_honor/ceremony	/m/073h5b
/m/07c404	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02sdk9v
/m/0ch26b_	/film/film/other_crew./film/film_crew_gig/film_crew_role	/m/02rh1dz
/m/0d6d2	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0gq9h
/m/09qj50	/award/award_category/winners./award/award_honor/award_winner	/m/025mb_
/m/0345h	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/m/0k6nt
/m/0gvvf4j	/film/film/production_companies	/m/061dn_
/m/0bkf72	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0fbtbt
/m/055c8	/film/actor/film./film/performance/film	/m/02fqrf
/m/0dckvs	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0chghy
/m/05f4m9q	/award/award_category/nominees./award/award_nomination/nominated_for	/m/02ywwy
/m/0btpm6	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/06qd3
/m/0dzf_	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/011ypx
/m/018wng	/award/award_category/winners./award/award_honor/ceremony	/m/05q7cj
/m/05qd_	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0dr_4
/m/0b5ysl	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02sdk9v
/m/08fn5b	/award/award_winning_work/awards_won./award/award_honor/award	/m/02qt02v
/m/01hwkn	/base/culturalevent/event/entity_involved	/m/0j5b8
/m/0dg3n1	/base/locations/continents/countries_within	/m/05cgv
/m/0143wl	/film/actor/film./film/performance/film	/m/08k40m
/m/0_kq3	/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	/m/0jbk9
/m/02k54	/dataworld/gardening_hint/split_to	/m/02k54
/m/03n08b	/film/actor/film./film/performance/film	/m/04cppj
/m/01rxyb	/film/film/cinematography	/m/06r_by
/m/0g78xc	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants	/m/0dv0z
/m/0dq_5	/business/job_title/people_with_this_title./business/employment_tenure/company	/m/01yfp7
/m/01p4vl	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/01z7s_
/m/0bshwmp	/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	/m/0crd8q6
/m/0p8r1	/film/actor/film./film/performance/film	/m/0j6b5
/m/023v4_	/people/person/gender	/m/02zsn
/m/08j7lh	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/015fr
/m/0hr3c8y	/award/award_ceremony/awards_presented./award/award_honor/honored_for	/m/080dwhx
/m/03bzjpm	/film/film/country	/m/0345h
/m/041p3y	/music/record_label/artist	/m/01mxnvc
/m/025m8l	/award/award_category/nominees./award/award_nomination/nominated_for	/m/07tw_b
/m/026t6	/music/performance_role/track_performances./music/track_contribution/role	/m/01dnws
/m/050023	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/02_1rq
/m/02x2gy0	/award/award_category/nominees./award/award_nomination/nominated_for	/m/09gq0x5
/m/015_1q	/music/record_label/artist	/m/01fl3
/m/02_j1w	/sports/sports_position/players./sports/sports_team_roster/team	/m/07s5fz
/m/05nrg	/location/location/contains	/m/05br2
/m/07gp9	/film/film/produced_by	/m/03_gd
/m/03fnjv	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02_j1w
/m/024qqx	/media_common/netflix_genre/titles	/m/06sfk6
/m/0l14j_	/music/performance_role/track_performances./music/track_contribution/role	/m/0l14md
/m/01vsl3_	/award/award_nominee/award_nominations./award/award_nomination/award	/m/01bgqh
/m/02qm5j	/music/genre/artists	/m/05qw5
/m/071x0k	/people/ethnicity/geographic_distribution	/m/05sb1
/m/053mhx	/education/educational_institution/students_graduates./education/education/student	/m/06z8gn
/m/02gqm3	/film/film/film_art_direction_by	/m/05b2f_k
/m/01_r9k	/education/educational_institution/colors	/m/04mkbj
/m/035d1m	/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	/m/06mkj
/m/04ld94	/people/person/profession	/m/02jknp
/m/0ctwqs	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02_j1w
/m/0cq7kw	/film/film/genre	/m/05p553
/m/04xrx	/award/award_nominee/award_nominations./award/award_nomination/award	/m/01d38g
/m/0309jm	/film/actor/film./film/performance/special_performance_type	/m/01pb34
/m/0l6ny	/user/jg/default_domain/olympic_games/sports	/m/06f41
/m/02q8ms8	/film/film/language	/m/064_8sq
/m/0l14md	/music/performance_role/track_performances./music/track_contribution/role	/m/0l14j_
/m/09rfpk	/film/film/other_crew./film/film_crew_gig/film_crew_role	/m/01vx2h
/m/0603qp	/people/person/place_of_birth	/m/0cr3d
/m/0blfl	/olympics/olympic_games/participating_countries	/m/06qd3
/m/01_x6d	/award/award_winner/awards_won./award/award_honor/award_winner	/m/0bz60q
/m/07fpm3	/people/person/places_lived./people/place_lived/location	/m/02m77
/m/0jqn5	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0d0vqn
/m/013w7j	/award/award_nominee/award_nominations./award/award_nomination/award	/m/02f75t
/m/08hsww	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0b7gxq
/m/01qrbf	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/09y20
/m/0ds35l9	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/03rj0
/m/02dpl9	/film/film/country	/m/06mkj
/m/07c0j	/music/artist/origin	/m/04lh6
/m/09r_wb	/people/person/languages	/m/0999q
/m/036hf4	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0prfz
/m/0420td	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02sdk9v
/m/07nf6	/location/location/contains	/m/035bpp
/m/032zg9	/film/actor/film./film/performance/film	/m/0gvvf4j
/m/02qdgx	/music/genre/artists	/m/02w4fkq
/m/06gb1w	/film/film/featured_film_locations	/m/080h2
/m/01w5m	/education/educational_institution/colors	/m/083jv
/m/0g1rw	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	/m/03b1l8
/m/0697s	/location/country/official_language	/m/0jzc
/m/037mp6	/sports/sports_team/colors	/m/083jv
/m/019g8j	/tv/tv_program/genre	/m/0hcr
/m/0319l	/music/performance_role/track_performances./music/track_contribution/role	/m/01vdm0
/m/0g5qs2k	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/02k54
/m/01w8n89	/music/artist/track_contributions./music/track_contribution/role	/m/018vs
/m/015_1q	/music/record_label/artist	/m/03f2_rc
/m/0199wf	/film/film/genre	/m/0hcr
/m/02h2z_	/military/military_conflict/combatants./military/military_combatant_group/combatants	/m/0bq0p9
/m/06mtq	/location/administrative_division/country	/m/0chghy
/m/09n48	/olympics/olympic_games/participating_countries	/m/0bjv6
/m/033jj1	/award/award_nominee/award_nominations./award/award_nomination/award	/m/08_vwq
/m/035yn8	/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue	/m/015hr
/m/06s6hs	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/08yx9q
/m/07lp1	/people/person/profession	/m/0cbd2
/m/06xl8z	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02sdk9v
/m/0h7x	/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	/m/09n48
/m/018nnz	/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	/m/0dq6p
/m/01vq3	/film/film_subject/films	/m/099bhp
/m/07h34	/location/location/contains	/m/0c_m3
/m/023mdt	/film/actor/film./film/performance/film	/m/0bm2nq
/m/0mhfr	/music/genre/artists	/m/015882
/m/07rlg	/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	/m/015fr
/m/01_x6d	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/01_x6v
/m/0879bpq	/film/film/genre	/m/07s9rl0
/m/04mx8h4	/tv/tv_program/genre	/m/0hcr
/m/01385g	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0f4x7
/m/043n1r5	/film/film/genre	/m/04t36
/m/0ggx5q	/music/genre/artists	/m/043zg
/m/0xhtw	/music/genre/artists	/m/07bzp
/m/02cg41	/award/award_ceremony/awards_presented./award/award_honor/award_winner	/m/01h5f8
/m/02j3d4	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/07z542
/m/03qnvdl	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/06mkj
/m/0bwfn	/education/educational_institution/students_graduates./education/education/student	/m/018ygt
/m/045j3w	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0chghy
/m/03rz2b	/film/film/film_format	/m/0cj16
/m/04_1nk	/people/person/profession	/m/089fss
/m/0c1sgd3	/award/award_winning_work/awards_won./award/award_honor/award	/m/02x2gy0
/m/07z5n	/location/statistical_region/religions./location/religion_percentage/religion	/m/0c8wxp
/m/0p9gg	/film/actor/film./film/performance/film	/m/04954r
/m/072hx4	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0163v
/m/0j_sncb	/education/educational_institution/colors	/m/0jc_p
/m/0lgxj	/user/jg/default_domain/olympic_games/sports	/m/06f41
/m/01bx35	/award/award_ceremony/awards_presented./award/award_honor/award_winner	/m/01x6v6
/m/03zj_3	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02_j1w
/m/0yzbg	/award/award_winning_work/awards_won./award/award_honor/award	/m/0gr51
/m/01h910	/people/person/place_of_birth	/m/0ccvx
/m/03c_cxn	/film/film/genre	/m/07s9rl0
/m/017jq	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/m/0j3b
/m/08_vwq	/award/award_category/winners./award/award_honor/award_winner	/m/01trf3
/m/0dx8gj	/film/film/other_crew./film/film_crew_gig/film_crew_role	/m/01vx2h
