entity	attribute	value
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	384689
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	403358
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	423772
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	529191
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	428666
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	284810
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	551798
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	522007
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	528396
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	369536
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	492154
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	296778
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	529690
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	499819
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	545476
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	526471
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	483064
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	440014
/m/0p03t	http://rdf.freebase.com/ns/location.statistical_region.hud_id	0805999999
/m/04165w	http://rdf.freebase.com/ns/film.film.netflix_id	70001999
/m/04165w	http://rdf.freebase.com/ns/user.robert.default_domain.rated_film.ew_rating	69
/m/0bl06	http://rdf.freebase.com/ns/film.film.netflix_id	60034703
/m/01j48s	http://rdf.freebase.com/ns/sports.sports_team.founded	1995
/m/0ck1d	http://rdf.freebase.com/ns/location.location.area	41308.0
/m/0ck1d	http://rdf.freebase.com/ns/topic_server.population_number	3285970
/m/04mlmx	http://rdf.freebase.com/ns/people.person.height_meters	1.69
/m/035sc2	http://rdf.freebase.com/ns/people.person.height_meters	1.87
/m/0s69k	http://rdf.freebase.com/ns/location.location.area	102.0
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	168181
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	105853
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	171782
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	167372
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	160931
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	129371
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	117062
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	170855
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	199963
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	103276
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	110759
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	155952
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	100986
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	142990
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	197899
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	108344
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	198151
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	144476
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	150159
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	164750
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	120952
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	172950
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	199247
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	169010
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	170765
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	165787
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	199701
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	125112
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	114072
/m/0s69k	http://rdf.freebase.com/ns/topic_server.population_number	199932
/m/0s69k	http://rdf.freebase.com/ns/location.location.gnis_feature_id	403732
/m/0s69k	http://rdf.freebase.com/ns/location.hud_county_place.countyplace_id	170342
/m/016ywb	http://rdf.freebase.com/ns/film.film.netflix_id	60001265
/m/08g_jw	http://rdf.freebase.com/ns/film.film.netflix_id	70053447
/m/08g_jw	http://rdf.freebase.com/ns/user.robert.default_domain.rated_film.ew_rating	54
/m/0r2l7	http://rdf.freebase.com/ns/location.location.area	65.371
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	114214
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	133751
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	136416
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	136826
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	121627
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	139290
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	134299
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	132230
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	139419
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	124208
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	131011
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	138344
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	129921
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	115133
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	132968
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	135436
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	139969
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	111716
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	132635
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	113198
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	116412
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	136990
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	110951
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	134950
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	136392
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	131418
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	132200
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	128821
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	118605
/m/0r2l7	http://rdf.freebase.com/ns/topic_server.population_number	125686
/m/0r2l7	http://rdf.freebase.com/ns/location.location.gnis_feature_id	1652765
/m/0r2l7	http://rdf.freebase.com/ns/location.hud_county_place.countyplace_id	062568
/m/0r2l7	http://rdf.freebase.com/ns/user.brendan.default_domain.top_architectural_city.structure_count	1
/m/06sfk6	http://rdf.freebase.com/ns/film.film.netflix_id	18114876
/m/06sfk6	http://rdf.freebase.com/ns/user.robert.default_domain.rated_film.ew_rating	62
/m/0cq7kw	http://rdf.freebase.com/ns/film.film.netflix_id	60034064
/m/02bqvs	http://rdf.freebase.com/ns/film.film.netflix_id	60031288
/m/09qwmm	http://rdf.freebase.com/ns/award.award_category.date_established	1994
/m/0kj34	http://rdf.freebase.com/ns/people.person.height_meters	1.78
/m/01tjt2	http://rdf.freebase.com/ns/location.location.area	129462.0
/m/01tjt2	http://rdf.freebase.com/ns/topic_server.population_number	5822734
/m/01tjt2	http://rdf.freebase.com/ns/location.location.gns_ufi	204245
/m/07c2wt	http://rdf.freebase.com/ns/sports.sports_team.founded	1926
/m/0nh1v	http://rdf.freebase.com/ns/location.location.area	17767.3184369
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	198621
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200650
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	220977
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	196553
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	220515
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	199160
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	204237
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	220314
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	199722
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	216824
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	197166
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	197045
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200877
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	208391
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	217595
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200368
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	196458
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	199652
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	217882
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	198611
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	198840
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	212906
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	215726
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200723
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	222229
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	198882
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200352
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	220915
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	197750
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	196158
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	197457
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	197767
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	198537
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	199649
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200164
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200178
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200478
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200540
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200567
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	200852
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	220116
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	220294
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	220670
/m/0nh1v	http://rdf.freebase.com/ns/topic_server.population_number	222131
/m/0nh1v	http://rdf.freebase.com/ns/location.statistical_region.hud_id	2713799999
/m/01nm3s	http://rdf.freebase.com/ns/people.person.height_meters	1.88
/m/01nm3s	http://rdf.freebase.com/ns/base.saturdaynightlive.snl_fiver_timer.number_of_appearances	12
/m/0bs5k8r	http://rdf.freebase.com/ns/film.film.netflix_id	70095136
/m/01vh3r	http://rdf.freebase.com/ns/people.person.height_meters	1.93
/m/06wvj	http://rdf.freebase.com/ns/base.instantencore.topic.instantencore_id	5014866
/m/01dw_f	http://rdf.freebase.com/ns/people.person.height_meters	1.6
/m/09gdm7q	http://rdf.freebase.com/ns/film.film.netflix_id	70140518
/m/02gqm3	http://rdf.freebase.com/ns/film.film.netflix_id	60002471
/m/01w03jv	http://rdf.freebase.com/ns/people.person.height_meters	1.75
/m/0h27vc	http://rdf.freebase.com/ns/people.person.height_meters	1.79
/m/03m6_z	http://rdf.freebase.com/ns/people.person.height_meters	1.84
/m/02h48	http://rdf.freebase.com/ns/people.person.height_meters	1.8
/m/01vfwd	http://rdf.freebase.com/ns/location.location.area	47922.0
/m/01vfwd	http://rdf.freebase.com/ns/topic_server.population_number	38529481
/m/02qmsr	http://rdf.freebase.com/ns/film.film.netflix_id	60002223
/m/02qmsr	http://rdf.freebase.com/ns/user.robert.default_domain.rated_film.ew_rating	46
/m/08cn4_	http://rdf.freebase.com/ns/people.person.height_meters	1.78
/m/0jkvj	http://rdf.freebase.com/ns/olympics.olympic_games.number_of_athletes	6028
/m/0jkvj	http://rdf.freebase.com/ns/olympics.olympic_games.number_of_countries	92
/m/0jkvj	http://rdf.freebase.com/ns/olympics.olympic_games.number_of_events	198
/m/0ttxp	http://rdf.freebase.com/ns/location.location.area	36.7778311668
/m/0ttxp	http://rdf.freebase.com/ns/topic_server.population_number	55197
/m/0ttxp	http://rdf.freebase.com/ns/location.location.gnis_feature_id	591420
/m/0ttxp	http://rdf.freebase.com/ns/location.hud_county_place.countyplace_id	2400578425
/m/033nzk	http://rdf.freebase.com/ns/sports.sports_team.founded	1895
/m/0mtl5	http://rdf.freebase.com/ns/location.location.area	1362.33374604
/m/0mtl5	http://rdf.freebase.com/ns/location.dated_location.date_founded	1783
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	635606
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	473725
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	565004
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	570320
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	635710
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	534142
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	543521
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	581978
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	485912
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	456279
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	588126
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	507250
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	516934
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	607413
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	628207
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	455292
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	492320
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	467723
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	596961
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	551461
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	566150
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	489246
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	462369
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	452412
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	658602
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	512434
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	499216
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	477811
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	627957
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	558333
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	480698
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	448771
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	621384
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	525173
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	510423
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	462625
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	648801
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	479480
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	462141
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	567251
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	512139
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	578527
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	614609
/m/0mtl5	http://rdf.freebase.com/ns/topic_server.population_number	452367
/m/0mtl5	http://rdf.freebase.com/ns/location.statistical_region.hud_id	4703799999
/m/07yg2	http://rdf.freebase.com/ns/music.artist.active_end	1996
/m/07yg2	http://rdf.freebase.com/ns/music.artist.active_start	1964
/m/0mwk9	http://rdf.freebase.com/ns/location.location.area	3221.94520926
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	121333
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	117687
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	116666
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	121825
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	118876
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	117360
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	122141
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	116544
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	117931
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	118416
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	117354
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	117756
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	113718
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	119115
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	120068
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	118278
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	121303
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	117987
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	116750
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	116838
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	115613
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	120590
/m/0mwk9	http://rdf.freebase.com/ns/topic_server.population_number	118523
